structure_inchikey_short,structure,organism
LWYHXEXQBAUDEY,http://www.wikidata.org/entity/Q104171408,Pseudomonas aeruginosa
PBXVYKHISUQHKY,http://www.wikidata.org/entity/Q104194255,Pseudomonas aeruginosa
SSQJIUWSCJLTTP,http://www.wikidata.org/entity/Q104197609,Pseudomonas aeruginosa
UKKYWOFQJOMYIL,http://www.wikidata.org/entity/Q104198309,Pseudomonas aeruginosa
HHNRZTHSVKSURP,http://www.wikidata.org/entity/Q104394560,Pseudomonas aeruginosa
AWCWOJPATVETFJ,http://www.wikidata.org/entity/Q104919962,Pseudomonas aeruginosa
BOSGDCHVRSIZSY,http://www.wikidata.org/entity/Q104939540,Pseudomonas aeruginosa
BQAUYRQMRXRGOO,http://www.wikidata.org/entity/Q104944247,Pseudomonas aeruginosa
FCBUKWWQSZQDDI,http://www.wikidata.org/entity/Q104993063,Pseudomonas aeruginosa
YUMHJXLSSASJGN,http://www.wikidata.org/entity/Q77497517,Pseudomonas
JYHIHHYYXXKTTJ,http://www.wikidata.org/entity/Q77499050,Pseudomonas
XPKLONXIXRADCG,http://www.wikidata.org/entity/Q77506842,Pseudomonas
AZGANZVUWUCOGH,http://www.wikidata.org/entity/Q77510945,Pseudomonas
MJHZJODQLYCXHE,http://www.wikidata.org/entity/Q77510998,Pseudomonas
GRPVXIRSGACTEG,http://www.wikidata.org/entity/Q77512930,Pseudomonas
SBKWAHPUHRUGMG,http://www.wikidata.org/entity/Q77514363,Pseudomonas
HCTYUKFXOOTSDB,http://www.wikidata.org/entity/Q77518275,Pseudomonas
PUTXYHAWWBIFFE,http://www.wikidata.org/entity/Q77520261,Pseudomonas
NJIOFEXYZOVVKA,http://www.wikidata.org/entity/Q77562412,Pseudomonas
ZRJHYOXNWCMGMW,http://www.wikidata.org/entity/Q77565427,Pseudomonas
ZWUJNEVMDJFNJO,http://www.wikidata.org/entity/Q77569918,Pseudomonas
JYFNTDPGDPZMCM,http://www.wikidata.org/entity/Q82932445,Pseudomonas
AZGANZVUWUCOGH,http://www.wikidata.org/entity/Q103816578,Pseudomonas
JYHIHHYYXXKTTJ,http://www.wikidata.org/entity/Q104169998,Pseudomonas
KUBFEPFJIGSSKC,http://www.wikidata.org/entity/Q104170600,Pseudomonas
MFEPAAMYDYMBSN,http://www.wikidata.org/entity/Q104171626,Pseudomonas
QXNYALKSDQNMBV,http://www.wikidata.org/entity/Q104196316,Pseudomonas
QYEWAEAWMXRMHB,http://www.wikidata.org/entity/Q104196341,Pseudomonas
RWJXTYSZCDAMCD,http://www.wikidata.org/entity/Q104197005,Pseudomonas
STPCXBIFWCFDLQ,http://www.wikidata.org/entity/Q104197642,Pseudomonas
YRBQCHAIEXCUGF,http://www.wikidata.org/entity/Q104201992,Pseudomonas
ZXPFDGSMLJREOU,http://www.wikidata.org/entity/Q104202899,Pseudomonas
UPQABDVIEXSCCH,http://www.wikidata.org/entity/Q104375702,Pseudomonas
HAKJMYNPWUJPQO,http://www.wikidata.org/entity/Q104375701,Pseudomonas
STNXQECXKDMLJK,http://www.wikidata.org/entity/Q104375947,Pseudomonas
UGBOUVVZXRMJNM,http://www.wikidata.org/entity/Q104400873,Pseudomonas
AHOWOFTYCJCPEK,http://www.wikidata.org/entity/Q104912383,Pseudomonas
AHOWOFTYCJCPEK,http://www.wikidata.org/entity/Q104912384,Pseudomonas
AVQWHWQXKOYHSL,http://www.wikidata.org/entity/Q104919750,Pseudomonas
BHONBYIDLOVJEW,http://www.wikidata.org/entity/Q104936130,Pseudomonas
BHONBYIDLOVJEW,http://www.wikidata.org/entity/Q104936129,Pseudomonas
BRWCDARVCRSMQV,http://www.wikidata.org/entity/Q104945049,Pseudomonas
BSSWFLXSPXRCKV,http://www.wikidata.org/entity/Q104945412,Pseudomonas
CUJVFMQWSZPITL,http://www.wikidata.org/entity/Q104970318,Pseudomonas
DCIJAGJQBHKBNH,http://www.wikidata.org/entity/Q104975400,Pseudomonas
DKRKCXQSIKKJRX,http://www.wikidata.org/entity/Q104983627,Pseudomonas
DSYOCLWRCTWQOY,http://www.wikidata.org/entity/Q104988119,Pseudomonas
DTEBAJZTWHMPEF,http://www.wikidata.org/entity/Q104988214,Pseudomonas
DXDQPBOQGTZSTP,http://www.wikidata.org/entity/Q104990946,Pseudomonas
FHYXCMJTACIUBG,http://www.wikidata.org/entity/Q104995523,Pseudomonas
FIDWFJZZQLPPLI,http://www.wikidata.org/entity/Q104995648,Pseudomonas
