structure_inchikey_short,structure,organism
YKFINAHPZOUPMT,http://www.wikidata.org/entity/Q105349640,Pseudomonas fluorescens
YLZWHXAFTZOANK,http://www.wikidata.org/entity/Q105350420,Pseudomonas fluorescens
YRALVZSNGOJWCS,http://www.wikidata.org/entity/Q105352686,Pseudomonas fluorescens
ZDQTUWLWUWQOMW,http://www.wikidata.org/entity/Q105372614,Pseudomonas fluorescens
ZDSFHVVHHKWBIH,http://www.wikidata.org/entity/Q105372671,Pseudomonas fluorescens
ZGDFFAWCXJUFOX,http://www.wikidata.org/entity/Q105375083,Pseudomonas fluorescens
ZGDFFAWCXJUFOX,http://www.wikidata.org/entity/Q105375085,Pseudomonas fluorescens
ZPQGHTFEPMCGAB,http://www.wikidata.org/entity/Q105381117,Pseudomonas fluorescens
YSHOYXWMVXTWRN,http://www.wikidata.org/entity/Q110158730,Pseudomonas fluorescens
XGPYVLQVNROZTJ,http://www.wikidata.org/entity/Q110187547,Pseudomonas fluorescens
XUHRVZXFBWDCFB,http://www.wikidata.org/entity/Q113958671,Pseudomonas fluorescens
FZGZHJMOMMMXAA,http://www.wikidata.org/entity/Q113958710,Pseudomonas fluorescens
BUCXZOKQHZOCIP,http://www.wikidata.org/entity/Q113959279,Pseudomonas fluorescens
OROGSEYTTFOCAN,http://www.wikidata.org/entity/Q174723,Pseudomonas putida
ZRSNZINYAWTAHE,http://www.wikidata.org/entity/Q174937,Pseudomonas putida
YAPQBXQYLJRXSA,http://www.wikidata.org/entity/Q206844,Pseudomonas putida
TXXHDPDFNKHHGW,http://www.wikidata.org/entity/Q27101947,Pseudomonas putida
UNRQTHVKJQUDDF,http://www.wikidata.org/entity/Q27105660,Pseudomonas putida
PFWLFWPASULGAN,http://www.wikidata.org/entity/Q27121426,Pseudomonas putida
DJGNEEKCRPWTKI,http://www.wikidata.org/entity/Q77281482,Pseudomonas syringae
XQCDUALOSDLZKD,http://www.wikidata.org/entity/Q77309718,Pseudomonas syringae
NBFISYVVWKCRKR,http://www.wikidata.org/entity/Q77310936,Pseudomonas syringae
NYRWZRIVFVWNTD,http://www.wikidata.org/entity/Q77370989,Pseudomonas syringae
PTRNCNFJAWMJBV,http://www.wikidata.org/entity/Q77374003,Pseudomonas syringae
VFXHWENMNWQOTJ,http://www.wikidata.org/entity/Q77375104,Pseudomonas syringae
KNHVGVOCIWZQPY,http://www.wikidata.org/entity/Q75062682,Pseudomonas putida
CVXQTZDTQXJFEV,http://www.wikidata.org/entity/Q75067395,Pseudomonas putida
FXAAMFXCTWRSIJ,http://www.wikidata.org/entity/Q77495196,Pseudomonas syringae
BWXSLEKEHASZOI,http://www.wikidata.org/entity/Q77496280,Pseudomonas syringae
OSCLZPCUGNFFGD,http://www.wikidata.org/entity/Q77509142,Pseudomonas syringae
QWBQGSICTTZLHY,http://www.wikidata.org/entity/Q77519812,Pseudomonas syringae
XDPWWEOIDYYUDN,http://www.wikidata.org/entity/Q77561897,Pseudomonas syringae
AWTIXUKUGKVRHD,http://www.wikidata.org/entity/Q77562523,Pseudomonas syringae
BFSBNVPBVGFFCF,http://www.wikidata.org/entity/Q77567051,Pseudomonas syringae
AXZPAGVFIVOODG,http://www.wikidata.org/entity/Q77571263,Pseudomonas syringae
SSRIAMRLMUFTNV,http://www.wikidata.org/entity/Q77369635,Pseudomonas putida
PZQCHSXMTTXPQG,http://www.wikidata.org/entity/Q77374440,Pseudomonas putida
XPPYRVYJQXKVGP,http://www.wikidata.org/entity/Q77422852,Pseudomonas putida
MXAFHAYQTYCNNT,http://www.wikidata.org/entity/Q77566643,Pseudomonas putida
SZJNCZMRZAUNQT,http://www.wikidata.org/entity/Q81988364,Pseudomonas syringae
TXXHDPDFNKHHGW,http://www.wikidata.org/entity/Q81976641,Pseudomonas putida
KJOVGYUGXHIVAY,http://www.wikidata.org/entity/Q82003648,Pseudomonas putida
FBWNIIUWWWDZAR,http://www.wikidata.org/entity/Q82384864,Pseudomonas putida
AIMDTYKFJMYVNG,http://www.wikidata.org/entity/Q103816152,Pseudomonas syringae
AWTIXUKUGKVRHD,http://www.wikidata.org/entity/Q103816505,Pseudomonas syringae
AXZPAGVFIVOODG,http://www.wikidata.org/entity/Q103816530,Pseudomonas syringae
BWXSLEKEHASZOI,http://www.wikidata.org/entity/Q103817092,Pseudomonas syringae
KZSKIDBMTSZKLE,http://www.wikidata.org/entity/Q104170738,Pseudomonas syringae
MVRGGCMKXHTGLM,http://www.wikidata.org/entity/Q104172112,Pseudomonas syringae
RUWSLQOIGKYPEZ,http://www.wikidata.org/entity/Q104196962,Pseudomonas syringae
VRWSVIUPXSFVFZ,http://www.wikidata.org/entity/Q104199736,Pseudomonas syringae
XDPWWEOIDYYUDN,http://www.wikidata.org/entity/Q104200870,Pseudomonas syringae
XQCDUALOSDLZKD,http://www.wikidata.org/entity/Q104201234,Pseudomonas syringae
AAFQBGIWLGZYHH,http://www.wikidata.org/entity/Q104907878,Pseudomonas syringae
AIMDTYKFJMYVNG,http://www.wikidata.org/entity/Q104912845,Pseudomonas syringae
BSPDBROUVLBHSZ,http://www.wikidata.org/entity/Q104945350,Pseudomonas syringae
CRYYXCIYGAGGEP,http://www.wikidata.org/entity/Q104969008,Pseudomonas syringae
FJKUSVYSJINSGB,http://www.wikidata.org/entity/Q104996178,Pseudomonas syringae
FXAAMFXCTWRSIJ,http://www.wikidata.org/entity/Q105003773,Pseudomonas syringae
FXAAMFXCTWRSIJ,http://www.wikidata.org/entity/Q105003781,Pseudomonas syringae
GFIQMTUSPKSFSY,http://www.wikidata.org/entity/Q105007561,Pseudomonas syringae
GWHDYRUDHBDIPD,http://www.wikidata.org/entity/Q105022369,Pseudomonas syringae
HICRIPRTFAOBSR,http://www.wikidata.org/entity/Q105028766,Pseudomonas syringae
ILUIUWLXEYGVIK,http://www.wikidata.org/entity/Q105115477,Pseudomonas syringae
KUKWXFRCIFDFFR,http://www.wikidata.org/entity/Q105146201,Pseudomonas syringae
LJHUZQXEGOLVCQ,http://www.wikidata.org/entity/Q105152586,Pseudomonas syringae
MOJHSYLNAXIDLC,http://www.wikidata.org/entity/Q105168934,Pseudomonas syringae
MOJHSYLNAXIDLC,http://www.wikidata.org/entity/Q105168937,Pseudomonas syringae
NKSUZVXCNCOJHF,http://www.wikidata.org/entity/Q105180989,Pseudomonas syringae
NWTWMUWVJZFILT,http://www.wikidata.org/entity/Q105186812,Pseudomonas syringae
NYRWZRIVFVWNTD,http://www.wikidata.org/entity/Q105187647,Pseudomonas syringae
OGPWYJVHIJUGHD,http://www.wikidata.org/entity/Q105191768,Pseudomonas syringae
ONMAUQRMJXNSCG,http://www.wikidata.org/entity/Q105194924,Pseudomonas syringae
QCUYMRSWABCZBI,http://www.wikidata.org/entity/Q105218616,Pseudomonas syringae
QSDADIOCRLZWFK,http://www.wikidata.org/entity/Q105226875,Pseudomonas syringae
REUXMKNGXWSXFN,http://www.wikidata.org/entity/Q105235113,Pseudomonas syringae
RKSQYDBORLFRPF,http://www.wikidata.org/entity/Q105238809,Pseudomonas syringae
RKSQYDBORLFRPF,http://www.wikidata.org/entity/Q105238817,Pseudomonas syringae
RUWSLQOIGKYPEZ,http://www.wikidata.org/entity/Q105245849,Pseudomonas syringae
SOKGGVHELUKAFO,http://www.wikidata.org/entity/Q105256993,Pseudomonas syringae
TUNPWIUIRCNHPM,http://www.wikidata.org/entity/Q105264881,Pseudomonas syringae
UMIOOXCZNZIVGY,http://www.wikidata.org/entity/Q105275577,Pseudomonas syringae
VDFHOCVHHWSPDR,http://www.wikidata.org/entity/Q105284121,Pseudomonas syringae
VRWSVIUPXSFVFZ,http://www.wikidata.org/entity/Q105292019,Pseudomonas syringae
VSWAGMJYHDOWMI,http://www.wikidata.org/entity/Q105292564,Pseudomonas syringae
VUNJOFKEEPUYPC,http://www.wikidata.org/entity/Q105297339,Pseudomonas syringae
XJHNEAUEPAENJZ,http://www.wikidata.org/entity/Q105328964,Pseudomonas syringae
XQXWAYYRNGIVKZ,http://www.wikidata.org/entity/Q105340210,Pseudomonas syringae
YMFYPHGOLKNWQN,http://www.wikidata.org/entity/Q105350510,Pseudomonas syringae
YMKFXEOSAGJWLN,http://www.wikidata.org/entity/Q105350574,Pseudomonas syringae
YSIYXKLKKBSLKF,http://www.wikidata.org/entity/Q105359735,Pseudomonas syringae
YWJUOOVZJWOIRO,http://www.wikidata.org/entity/Q105366798,Pseudomonas syringae
ZQVJBRJGDVZANE,http://www.wikidata.org/entity/Q105381778,Pseudomonas syringae
ZQVJBRJGDVZANE,http://www.wikidata.org/entity/Q105381777,Pseudomonas syringae
ATBTWVUHMOVISW,http://www.wikidata.org/entity/Q103816406,Pseudomonas putida
CNAFSPBMMDALIS,http://www.wikidata.org/entity/Q103817878,Pseudomonas putida
UBFQXDNOBHOEFV,http://www.wikidata.org/entity/Q104198019,Pseudomonas putida
VIINNBFAPVQYLV,http://www.wikidata.org/entity/Q104199449,Pseudomonas putida
YBURQIMZBFFKPD,http://www.wikidata.org/entity/Q104201542,Pseudomonas putida
CGSXJRSUCHVIJN,http://www.wikidata.org/entity/Q104958148,Pseudomonas putida
CMWZZRZGLKJOMZ,http://www.wikidata.org/entity/Q104965325,Pseudomonas putida
CXUNGJFNAGVPSI,http://www.wikidata.org/entity/Q104972142,Pseudomonas putida
DSNMBYIZKSVKBM,http://www.wikidata.org/entity/Q104987912,Pseudomonas putida
FWSSLXUYBRZUKY,http://www.wikidata.org/entity/Q105003561,Pseudomonas putida
FYBWNLNWZMONGV,http://www.wikidata.org/entity/Q105004410,Pseudomonas putida
GRYLUTOFSWQYKN,http://www.wikidata.org/entity/Q105016839,Pseudomonas putida
HDPPSWUQDQXSJU,http://www.wikidata.org/entity/Q105026476,Pseudomonas putida
HGPJLFOSUCTEJB,http://www.wikidata.org/entity/Q105027903,Pseudomonas putida
JXFJDYCRCSOLAG,http://www.wikidata.org/entity/Q110173441,Pseudomonas syringae
XDPWWEOIDYYUDN,http://www.wikidata.org/entity/Q110186943,Pseudomonas syringae
YJSWDNALNIKXKY,http://www.wikidata.org/entity/Q110186944,Pseudomonas syringae
CUHWACVSFBFFSP,http://www.wikidata.org/entity/Q113959132,Pseudomonas syringae
QEZYFJFOYSPYQE,http://www.wikidata.org/entity/Q115952296,Pseudomonas syringae
VHRGRCVQAFMJIZ,http://www.wikidata.org/entity/Q161555,Pseudomonas
FJKROLUGYXJWQN,http://www.wikidata.org/entity/Q229970,Pseudomonas
QJBZDBLBQWFTPZ,http://www.wikidata.org/entity/Q371817,Pseudomonas
WYWHKKSPHMUBEB,http://www.wikidata.org/entity/Q385347,Pseudomonas
YYGNTYWPHWGJRM,http://www.wikidata.org/entity/Q407560,Pseudomonas
TZBJGXHYKVUXJN,http://www.wikidata.org/entity/Q415957,Pseudomonas
PFNFFQXMRSDOHW,http://www.wikidata.org/entity/Q424597,Pseudomonas
UZKQTCBAMSWPJD,http://www.wikidata.org/entity/Q2276562,Pseudomonas
PIFFQYJYNWXNGE,http://www.wikidata.org/entity/Q4596777,Pseudomonas
VERGPVBZPMTZDY,http://www.wikidata.org/entity/Q5204376,Pseudomonas
IPRJXAGUEGOFGG,http://www.wikidata.org/entity/Q14853448,Pseudomonas
DQGOJKVIMNNGAH,http://www.wikidata.org/entity/Q27110228,Pseudomonas
WLLRAKCRHPMKNA,http://www.wikidata.org/entity/Q27155547,Pseudomonas
RWAXAHFFXZKMPA,http://www.wikidata.org/entity/Q27158718,Pseudomonas
QYEWAEAWMXRMHB,http://www.wikidata.org/entity/Q27236372,Pseudomonas
FZKVQDUEWNYBMS,http://www.wikidata.org/entity/Q27237279,Pseudomonas
ZNZJJSYHZBXQSM,http://www.wikidata.org/entity/Q27270558,Pseudomonas
MOBOUQJWGBVNCR,http://www.wikidata.org/entity/Q27271030,Pseudomonas
PBLZLIFKVPJDCO,http://www.wikidata.org/entity/Q27271277,Pseudomonas
MOBOUQJWGBVNCR,http://www.wikidata.org/entity/Q27293666,Pseudomonas
ZRJHYOXNWCMGMW,http://www.wikidata.org/entity/Q27457463,Pseudomonas
KKRXDNYRUZGPFM,http://www.wikidata.org/entity/Q27463885,Pseudomonas
WCCLQCBKBPTODV,http://www.wikidata.org/entity/Q72457342,Pseudomonas
GAZJVWPMPITOLB,http://www.wikidata.org/entity/Q75056223,Pseudomonas
QLPBAXRSKZBNQY,http://www.wikidata.org/entity/Q75058576,Pseudomonas
MFEPAAMYDYMBSN,http://www.wikidata.org/entity/Q75062613,Pseudomonas
KNHVGVOCIWZQPY,http://www.wikidata.org/entity/Q75062682,Pseudomonas
FPMIEPCWEZBKGP,http://www.wikidata.org/entity/Q75065528,Pseudomonas
CVXQTZDTQXJFEV,http://www.wikidata.org/entity/Q75067395,Pseudomonas
ZQCAUNGVEIYRKP,http://www.wikidata.org/entity/Q75068104,Pseudomonas
RPNZWZDLNYCCIG,http://www.wikidata.org/entity/Q76105838,Pseudomonas
TYGJUQYJMIOZLZ,http://www.wikidata.org/entity/Q76386700,Pseudomonas
DQTXAXNYLWRTPB,http://www.wikidata.org/entity/Q76389240,Pseudomonas
RONUKPQOBQKEHX,http://www.wikidata.org/entity/Q76389241,Pseudomonas
FKTBPFXEHOYGEZ,http://www.wikidata.org/entity/Q76414944,Pseudomonas
CFMYXEVWODSLAX,http://www.wikidata.org/entity/Q76416754,Pseudomonas
RBCHRRIVFAIGFI,http://www.wikidata.org/entity/Q76728399,Pseudomonas
FHWKCLRYHASIMG,http://www.wikidata.org/entity/Q76807167,Pseudomonas
DDXULJFDBNIPEQ,http://www.wikidata.org/entity/Q77310328,Pseudomonas
BVQQZWJFNMQQQT,http://www.wikidata.org/entity/Q77310460,Pseudomonas
AAFQBGIWLGZYHH,http://www.wikidata.org/entity/Q77369164,Pseudomonas
SSRIAMRLMUFTNV,http://www.wikidata.org/entity/Q77369635,Pseudomonas
AIEOKRDVEYLFHJ,http://www.wikidata.org/entity/Q77372199,Pseudomonas
KPYXDIVTPWLGHB,http://www.wikidata.org/entity/Q77374939,Pseudomonas
DGVAQUZMNFTFKE,http://www.wikidata.org/entity/Q77381110,Pseudomonas
JSRXKUDJDNEKAW,http://www.wikidata.org/entity/Q77382161,Pseudomonas
XFLBOEMFLGLWFF,http://www.wikidata.org/entity/Q77384590,Pseudomonas
JPBZVOIXIPLNNZ,http://www.wikidata.org/entity/Q77384701,Pseudomonas
FIDWFJZZQLPPLI,http://www.wikidata.org/entity/Q77386710,Pseudomonas
XPPYRVYJQXKVGP,http://www.wikidata.org/entity/Q77422852,Pseudomonas
CODGHFHXEFKOMN,http://www.wikidata.org/entity/Q77423495,Pseudomonas
QMZPYQGXHUSNRN,http://www.wikidata.org/entity/Q77491644,Pseudomonas
RUWSLQOIGKYPEZ,http://www.wikidata.org/entity/Q77495856,Pseudomonas
GKFPPCXIBHQRQT,http://www.wikidata.org/entity/Q105009912,Pseudomonas aeruginosa
HLOPMQJRUIOMJO,http://www.wikidata.org/entity/Q105030246,Pseudomonas aeruginosa
BJOPRJZXDVAPDG,http://www.wikidata.org/entity/Q105100773,Pseudomonas aeruginosa
CJEFSXQNNAAJQZ,http://www.wikidata.org/entity/Q105102663,Pseudomonas aeruginosa
GJIGVPBRJFOUGD,http://www.wikidata.org/entity/Q105106950,Pseudomonas aeruginosa
GJIGVPBRJFOUGD,http://www.wikidata.org/entity/Q105106948,Pseudomonas aeruginosa
ICTVCUOZYWNYHM,http://www.wikidata.org/entity/Q105111165,Pseudomonas aeruginosa
JHLXDWGVSYMXPL,http://www.wikidata.org/entity/Q105128081,Pseudomonas aeruginosa
KHTHQNHXMCUIBE,http://www.wikidata.org/entity/Q105141325,Pseudomonas aeruginosa
LWYHXEXQBAUDEY,http://www.wikidata.org/entity/Q105158664,Pseudomonas aeruginosa
LYYQYJLSWPMKAR,http://www.wikidata.org/entity/Q105159677,Pseudomonas aeruginosa
MADIKJAZYIGDAS,http://www.wikidata.org/entity/Q105160276,Pseudomonas aeruginosa
MNDMLSPMVVCPJU,http://www.wikidata.org/entity/Q105168294,Pseudomonas aeruginosa
NQGLMWQXKRELIQ,http://www.wikidata.org/entity/Q105183808,Pseudomonas aeruginosa
NTBYIQWZAVDRHA,http://www.wikidata.org/entity/Q105185365,Pseudomonas aeruginosa
NTMMCWJNQNKACG,http://www.wikidata.org/entity/Q105185517,Pseudomonas aeruginosa
NYBSHYBITMVDLL,http://www.wikidata.org/entity/Q105187440,Pseudomonas aeruginosa
OJUVKTKVBLPUIK,http://www.wikidata.org/entity/Q105193300,Pseudomonas aeruginosa
OSWGMRUTKTWVOY,http://www.wikidata.org/entity/Q105199354,Pseudomonas aeruginosa
OSWGMRUTKTWVOY,http://www.wikidata.org/entity/Q105199355,Pseudomonas aeruginosa
PFKPGJIRLGBSCS,http://www.wikidata.org/entity/Q105207814,Pseudomonas aeruginosa
PGJSUOOMNBEQDS,http://www.wikidata.org/entity/Q105208437,Pseudomonas aeruginosa
PPMPLIBYTIWXPG,http://www.wikidata.org/entity/Q105212961,Pseudomonas aeruginosa
QIRRYPHVUMPBDX,http://www.wikidata.org/entity/Q105221738,Pseudomonas aeruginosa
QTSUWBVHPRTSMB,http://www.wikidata.org/entity/Q105227907,Pseudomonas aeruginosa
QWJRYCFSCCMPPH,http://www.wikidata.org/entity/Q105229225,Pseudomonas aeruginosa
RLBLYZKFNSJEQQ,http://www.wikidata.org/entity/Q105239753,Pseudomonas aeruginosa
RNUCUWWMTTWKAH,http://www.wikidata.org/entity/Q105241838,Pseudomonas aeruginosa
RUIOLPSOXWTQMI,http://www.wikidata.org/entity/Q105245638,Pseudomonas aeruginosa
RXQLQHSDUYRSLI,http://www.wikidata.org/entity/Q105247233,Pseudomonas aeruginosa
SISUIWQKEBULAB,http://www.wikidata.org/entity/Q105254013,Pseudomonas aeruginosa
SOXOUCOZZYMXPU,http://www.wikidata.org/entity/Q105257275,Pseudomonas aeruginosa
TVLSKGDBUQMDPR,http://www.wikidata.org/entity/Q105265387,Pseudomonas aeruginosa
TVTGZVYLUHVBAJ,http://www.wikidata.org/entity/Q105265538,Pseudomonas aeruginosa
USWXONDRQANYOY,http://www.wikidata.org/entity/Q105278550,Pseudomonas aeruginosa
VRTHPBIMOLQLGL,http://www.wikidata.org/entity/Q105291950,Pseudomonas aeruginosa
XFVULMDJZXYMSG,http://www.wikidata.org/entity/Q105327328,Pseudomonas aeruginosa
XREILSQAXUAAHP,http://www.wikidata.org/entity/Q105340417,Pseudomonas aeruginosa
YOOCQXHZDKMDJM,http://www.wikidata.org/entity/Q105351421,Pseudomonas aeruginosa
ZDACRNZBFJOLTC,http://www.wikidata.org/entity/Q105371919,Pseudomonas aeruginosa
LOUOCBKBIWBTTR,http://www.wikidata.org/entity/Q106042062,Pseudomonas aeruginosa
NCMVOABPESMRCP,http://www.wikidata.org/entity/Q110012301,Pseudomonas aeruginosa
VFVAGPWBFWJBMN,http://www.wikidata.org/entity/Q110167966,Pseudomonas aeruginosa
AWCWOJPATVETFJ,http://www.wikidata.org/entity/Q110200603,Pseudomonas aeruginosa
AIECUUXSLHXKBY,http://www.wikidata.org/entity/Q113958880,Pseudomonas aeruginosa
WNKLVRDIRPADMZ,http://www.wikidata.org/entity/Q113958881,Pseudomonas aeruginosa
VFVAGPWBFWJBMN,http://www.wikidata.org/entity/Q115971226,Pseudomonas aeruginosa
QJBZDBLBQWFTPZ,http://www.wikidata.org/entity/Q371817,Pseudomonas stutzeri
SEOVTRFCIGRIMH,http://www.wikidata.org/entity/Q411208,Pseudomonas amygdali
HYVABZIGRDEKCD,http://www.wikidata.org/entity/Q569031,Pseudomonas amygdali
DLESRUNXEOWSOI,http://www.wikidata.org/entity/Q104984230,Pseudomonas chlororaphis
UZKQTCBAMSWPJD,http://www.wikidata.org/entity/Q2276562,Pseudomonas amygdali
FOQIUXRJHLCKBN,http://www.wikidata.org/entity/Q113959426,Pseudomonas chlororaphis
MOBOUQJWGBVNCR,http://www.wikidata.org/entity/Q27293666,Pseudomonas acidophila
DMCPFOBLJMLSNX,http://www.wikidata.org/entity/Q27102461,Pseudomonas cichorii
OLNJUISKUQQNIM,http://www.wikidata.org/entity/Q27103575,Pseudomonas cichorii
KGYHMWVRKYFQQR,http://www.wikidata.org/entity/Q27105919,Pseudomonas cichorii
IUMFLNFLJUUODE,http://www.wikidata.org/entity/Q27105920,Pseudomonas cichorii
QSSMEVWVRIEBSR,http://www.wikidata.org/entity/Q27105970,Pseudomonas cichorii
LDBYHULIXFIJAZ,http://www.wikidata.org/entity/Q27106413,Pseudomonas cichorii
KFZBENSULWNJKD,http://www.wikidata.org/entity/Q27107341,Pseudomonas cichorii
QYKQWFZDEDFELK,http://www.wikidata.org/entity/Q27117380,Pseudomonas cichorii
UZKQTCBAMSWPJD,http://www.wikidata.org/entity/Q22807318,Pseudomonas amygdali
XXFACTAYGKKOQB,http://www.wikidata.org/entity/Q27102685,Pseudomonas amygdali
KTHADMDGDNYQRX,http://www.wikidata.org/entity/Q27140143,Pseudomonas amygdali
QJBZDBLBQWFTPZ,http://www.wikidata.org/entity/Q371817,Pseudomonas chlororaphis
JGCSKOVQDXEQHI,http://www.wikidata.org/entity/Q27131864,Pseudomonas libanensis
QYEWAEAWMXRMHB,http://www.wikidata.org/entity/Q27236372,Pseudomonas libanensis
NFGIENSPALNOON,http://www.wikidata.org/entity/Q63409863,Pseudomonas cichorii
RPNZWZDLNYCCIG,http://www.wikidata.org/entity/Q76105838,Pseudomonas acidophila
FKTBPFXEHOYGEZ,http://www.wikidata.org/entity/Q76414944,Pseudomonas acidophila
HPEFWCAKFRCLBD,http://www.wikidata.org/entity/Q72465991,Pseudomonas cichorii
LIJIPBYXIXTNLE,http://www.wikidata.org/entity/Q72515902,Pseudomonas cichorii
AHCCSFZXRLQQHD,http://www.wikidata.org/entity/Q77562723,Pseudomonas stutzeri
XXFACTAYGKKOQB,http://www.wikidata.org/entity/Q76100146,Pseudomonas amygdali
BHXCFNZULGNWRA,http://www.wikidata.org/entity/Q82434620,Pseudomonas cichorii
MVMVWNMQGBYIDM,http://www.wikidata.org/entity/Q82879375,Pseudomonas cichorii
MZHODDNWVOFAGX,http://www.wikidata.org/entity/Q83067718,Pseudomonas cichorii
DIHOLNUONFKUJS,http://www.wikidata.org/entity/Q103818415,Pseudomonas fuscovaginae
QPBOSUOSUAJYJU,http://www.wikidata.org/entity/Q104196047,Pseudomonas fuscovaginae
AFLLGKMKWFZARJ,http://www.wikidata.org/entity/Q104911311,Pseudomonas entomophila
DIHOLNUONFKUJS,http://www.wikidata.org/entity/Q104981364,Pseudomonas fuscovaginae
FMGBNISRFNDECK,http://www.wikidata.org/entity/Q104997833,Pseudomonas coronafaciens
QPBOSUOSUAJYJU,http://www.wikidata.org/entity/Q105225293,Pseudomonas fuscovaginae
VTRUYCBNPXAOKM,http://www.wikidata.org/entity/Q105292965,Pseudomonas entomophila
JOMFHFOOPCCBLZ,http://www.wikidata.org/entity/Q105132425,Pseudomonas stutzeri
KCIKJWRMLAZSHN,http://www.wikidata.org/entity/Q105138756,Pseudomonas acidophila
IDXJZUDVUAIXPB,http://www.wikidata.org/entity/Q105111591,Pseudomonas putida
IDXJZUDVUAIXPB,http://www.wikidata.org/entity/Q105111592,Pseudomonas putida
IKFDGHCSVKCHBZ,http://www.wikidata.org/entity/Q105114343,Pseudomonas putida
JXIIMCBSTUJBBG,http://www.wikidata.org/entity/Q105136592,Pseudomonas putida
KQKPTHYPHRRYMG,http://www.wikidata.org/entity/Q105144595,Pseudomonas putida
KQKPTHYPHRRYMG,http://www.wikidata.org/entity/Q105144596,Pseudomonas putida
LBJVZZRIPHSKNP,http://www.wikidata.org/entity/Q105149371,Pseudomonas putida
LMCANDWMUCRYHX,http://www.wikidata.org/entity/Q105153841,Pseudomonas putida
OORMIHRPTHHZJT,http://www.wikidata.org/entity/Q105195558,Pseudomonas putida
OPDFEMUVZDUCJR,http://www.wikidata.org/entity/Q105195989,Pseudomonas putida
PDOJYFBROITFMY,http://www.wikidata.org/entity/Q105206629,Pseudomonas putida
PJRFGAHNCLDOPT,http://www.wikidata.org/entity/Q105210129,Pseudomonas putida
PTYCEIBBGGLADD,http://www.wikidata.org/entity/Q105214970,Pseudomonas putida
PUKQCIPGDBFGRU,http://www.wikidata.org/entity/Q105215141,Pseudomonas putida
QBBKPPKSBCAJHK,http://www.wikidata.org/entity/Q105217717,Pseudomonas putida
QVDNUTJNIRXEQO,http://www.wikidata.org/entity/Q105228586,Pseudomonas putida
RCKUZOBANSNGAE,http://www.wikidata.org/entity/Q105233748,Pseudomonas putida
RCKUZOBANSNGAE,http://www.wikidata.org/entity/Q105233749,Pseudomonas putida
RMAOGXVMYBBIEH,http://www.wikidata.org/entity/Q105240658,Pseudomonas putida
RWTHTFNLYIDWAH,http://www.wikidata.org/entity/Q105246748,Pseudomonas putida
RWTHTFNLYIDWAH,http://www.wikidata.org/entity/Q105246749,Pseudomonas putida
RYFVQMGDIBMAPL,http://www.wikidata.org/entity/Q105247546,Pseudomonas putida
RYFVQMGDIBMAPL,http://www.wikidata.org/entity/Q105247547,Pseudomonas putida
SNSAGRPLPFIHSA,http://www.wikidata.org/entity/Q105256652,Pseudomonas putida
WMHMGPUINRVYES,http://www.wikidata.org/entity/Q105308577,Pseudomonas putida
WNADMYJZFVSGLU,http://www.wikidata.org/entity/Q105308943,Pseudomonas putida
WQRWWSRMPNUNEZ,http://www.wikidata.org/entity/Q105310927,Pseudomonas putida
XMWHJMODTBOXDX,http://www.wikidata.org/entity/Q105331465,Pseudomonas putida
YBURQIMZBFFKPD,http://www.wikidata.org/entity/Q105346065,Pseudomonas putida
YJVXANMGDPMOHG,http://www.wikidata.org/entity/Q105349501,Pseudomonas putida
YOMPSJJICGTGBM,http://www.wikidata.org/entity/Q105351402,Pseudomonas putida
YOMPSJJICGTGBM,http://www.wikidata.org/entity/Q105351401,Pseudomonas putida
ZDMRVXKDMYERTG,http://www.wikidata.org/entity/Q105372420,Pseudomonas putida
IWHRJHPJNJKAHJ,http://www.wikidata.org/entity/Q105121646,Pseudomonas koreensis
ODBVVAANIDRJBL,http://www.wikidata.org/entity/Q105189725,Pseudomonas koreensis
WOAICEGRKLHIAO,http://www.wikidata.org/entity/Q105309399,Pseudomonas koreensis
YXJJGXZENUGDOF,http://www.wikidata.org/entity/Q105367729,Pseudomonas koreensis
CLQUREOEOAUALG,http://www.wikidata.org/entity/Q104963836,Pseudomonas cichorii
CUJQSBRMPIAHMC,http://www.wikidata.org/entity/Q104970315,Pseudomonas cichorii
DXLDPLVGKCAHPY,http://www.wikidata.org/entity/Q104991059,Pseudomonas cichorii
FJKWKEZAHVWIOR,http://www.wikidata.org/entity/Q104996180,Pseudomonas cichorii
FUHQSEOSBHASCH,http://www.wikidata.org/entity/Q105001725,Pseudomonas cichorii
FVJBYOXUZWKLDG,http://www.wikidata.org/entity/Q105002493,Pseudomonas cichorii
GGJSRVIYGDLBIE,http://www.wikidata.org/entity/Q105008152,Pseudomonas cichorii
GHGDPZHQDKPWOJ,http://www.wikidata.org/entity/Q105008506,Pseudomonas cichorii
HRYLQFBHBWLLLL,http://www.wikidata.org/entity/Q105032898,Pseudomonas cichorii
IXOBWMNTICTXOJ,http://www.wikidata.org/entity/Q105122318,Pseudomonas cichorii
JVKOHVNWMQYCIN,http://www.wikidata.org/entity/Q105135791,Pseudomonas cichorii
KJSKSCBVIGFOKZ,http://www.wikidata.org/entity/Q105141949,Pseudomonas cichorii
OWWULYVDNVCJLP,http://www.wikidata.org/entity/Q105202359,Pseudomonas cichorii
FKHKGFPKDCFJTR,http://www.wikidata.org/entity/Q104996606,Pseudomonas corrugata
