ID1,ID2,EdgeType,Score,Annotation
2243,2255,MS1 annotation,2,[M+NH4]+ [2M+H-H2O]+ dm/z=235.12142
2259,2266,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98213
2278,2282,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98177
2278,2302,MS1 annotation,3,[M+2H]+2 [M+Na]+ dm/z=201.11053
2278,2302,MS1 annotation,2,[M+H]+ [2M+Na]+ dm/z=201.11053
2292,2401,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98207
2353,2372,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98214
2393,2428,MS1 annotation,5,[M+Na]+ [M+K]+ dm/z=15.97374
2393,2406,MS1 annotation,5,[2M+Na]+ [M+K]+ dm/z=214.18923
2393,2397,MS1 annotation,5,[2M+H]+ [M+K]+ dm/z=192.20709
2393,2421,MS1 annotation,5,[M+H]+ [M+K]+ dm/z=37.95567
2397,2428,MS1 annotation,5,[M+Na]+ [2M+H]+ dm/z=208.18083
2405,2409,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98186
2406,2421,MS1 annotation,5,[M+H]+ [2M+Na]+ dm/z=252.14491
2411,2419,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98212
2421,2428,MS1 annotation,5,[M+Na]+ [M+H]+ dm/z=21.98193
2474,2492,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98225
2476,2478,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98206
2499,2525,MS1 annotation,4,[M+H]+ [2M+Na]+ dm/z=284.11324
2511,2512,MS1 annotation,4,[M+Na]+ [2M+H]+ dm/z=240.14982
2512,2525,MS1 annotation,4,[M+H]+ [M+Na]+ dm/z=21.98179
2587,2592,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.982
2601,2603,MS1 annotation,5,[2M+Na]+ [M+K]+ dm/z=248.1735
2601,2602,MS1 annotation,5,[2M+H]+ [M+K]+ dm/z=226.19159
2601,2630,MS1 annotation,5,[M+H]+ [M+K]+ dm/z=37.95592
2601,2631,MS1 annotation,5,[M+Na]+ [M+K]+ dm/z=15.9741
2602,2631,MS1 annotation,5,[M+Na]+ [2M+H]+ dm/z=242.16569
2603,2630,MS1 annotation,5,[M+H]+ [2M+Na]+ dm/z=286.12942
2620,2658,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98141
2630,2631,MS1 annotation,5,[M+Na]+ [M+H]+ dm/z=21.98182
2639,2651,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98215
2676,2686,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98203
2691,2695,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98178
2720,2756,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98113
2722,2724,MS1 annotation,2,[2M+Na]+ [M+H]+ dm/z=323.13484
2754,2796,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98187
2767,2784,MS1 annotation,5,[M+K]+ [2M+H]+ dm/z=277.25982
2767,2797,MS1 annotation,5,[M+Na]+ [2M+H]+ dm/z=293.23462
2776,2784,MS1 annotation,5,[M+K]+ [2M+Na]+ dm/z=299.2416
2776,2777,MS1 annotation,5,[M+H]+ [2M+Na]+ dm/z=337.19808
2777,2784,MS1 annotation,5,[M+K]+ [M+H]+ dm/z=37.95648
2777,2797,MS1 annotation,5,[M+Na]+ [M+H]+ dm/z=21.98168
2803,2818,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98205
2831,2865,MS1 annotation,4,[M+Na]+ [2M+H]+ dm/z=272.17573
2845,3002,MS1 annotation,4,[M+H]+ [2M+Na]+ dm/z=316.13982
2853,2866,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98178
2865,3002,MS1 annotation,4,[M+H]+ [M+Na]+ dm/z=21.98199
2875,3013,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98213
2884,2885,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98216
2889,2914,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98202
2919,2922,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98225
2942,2943,MS1 annotation,4,[M+K]+ [2M+H]+ dm/z=226.19168
2942,3247,MS1 annotation,4,[M+Na]+ [2M+H]+ dm/z=242.16553
2943,2962,MS1 annotation,4,[M+H]+ [M+K]+ dm/z=37.95582
2943,3247,MS1 annotation,4,[M+Na]+ [M+K]+ dm/z=15.97386
